Category,Avg Percentile,Max Percentile,Min Percentile,Avg Rank,Max Rank,Min Rank
06,89.19,98.59,79.79,93.5,96,91
13,70.51,70.51,70.51,92.0,92,92
15,94.32,94.32,94.32,98.0,98,98
16,78.33,78.33,78.33,97.0,97,97
20,81.03,81.03,81.03,95.0,95,95
27,97.63,97.63,97.63,96.0,96,96
28,94.58,94.58,94.58,94.0,94,94
29,81.11,81.11,81.11,95.0,95,95
31,98.61,98.61,98.61,98.0,98,98
32,98.205,99.11,97.21,95.75,99,88
37,86.9,86.9,86.9,93.0,93,93
38,76.83,76.83,76.83,93.0,93,93
39,76.04,76.04,76.04,88.0,88,88
40,66.67,66.67,66.67,95.0,95,95
44,93.75,93.75,93.75,97.0,97,97
45,94.07499999999999,98.99,89.16,99.0,99,99
46,95.58,95.58,95.58,95.0,95,95
47,76.28,76.28,76.28,95.0,95,95
48,93.425,99.6,87.25,98.5,99,98
49,98.12,99.7,96.54,72.0,99,45
51,89.35,89.35,89.35,98.0,98,98
55,97.0,97.0,97.0,99.0,99,99
56,97.72,97.72,97.72,98.0,98,98
60,99.76,99.76,99.76,98.0,98,98
61,45.84,45.84,45.84,88.0,88,88
64,95.07,95.07,95.07,99.0,99,99
65,88.51,88.51,88.51,96.0,96,96
67,98.315,99.8,96.83,97.5,99,96
71,60.82,98.76,22.88,93.5,99,88
74,97.325,97.65,97.0,98.0,99,97
75,87.5,87.5,87.5,87.0,87,87
76,98.62,98.62,98.62,99.0,99,99
79,35.62,35.62,35.62,75.0,75,75
81,97.33,97.33,97.33,96.0,96,96
83,98.24,98.24,98.24,98.0,98,98
84,99.1,99.1,99.1,98.0,98,98
85,86.35,86.35,86.35,92.0,92,92
89,99.42,99.42,99.42,98.0,98,98
93,75.34,75.34,75.34,96.0,96,96
DT/VJ,66.019773,66.019773,66.019773,4560.0,4560,4560
OPEN,99.121201,99.121201,99.121201,54.0,54,54
Percentile,98.33055555555556,99.89,90.86,93.27777777777777,99,79
ST,83.5222815,85.325888,81.718675,2116.5,2385,1848
